CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d)
90179,90179,3100899,0,3028.94,0,0,0
90179,90179,3101204,0,50343.32,0,0,0
90179,90179,3101004,0,11941.1,0,0,0
90179,90179,3100193,0,34406.92,0,0,0
90179,90179,3100446,0,934.49,0,0,0
90179,90179,4300003,0,290407.07,0,0,0
90179,90179,3100879,0,74531.69,0,200208,0
90179,90179,3101264,0,116.41,0,0,0
90179,90179,3100751,898143.95,1808042.8,0,0,0
90179,90179,3101352,59894.29,1101358.5,0,0,0
90179,90179,3100739,0,681852.45,0,0,0
90179,90179,3101502,0,1919.16,0,0,0
90179,90179,3101216,5700,64279.43,0,0,0
90179,90179,3100555,213252.01,0,0,0,213252.01
90179,90179,3100682,0,29893.26,0,3078176.94,0
90179,90179,3101480,0,10438.07,0,0,0
90179,90179,3101579,0,14897.39,0,0,0
90179,90179,3101577,0,138793.64,0,0,0
90179,90179,3101095,0,566386.52,0,0,0
90179,90179,3100924,0,400000,0,290085.28,0
90179,90179,10000240,68083.56,348634.7,0,0,0
90179,90179,3101392,0,4924.22,0,0,0
90179,90179,3101036,270586.72,10208.43,0,0,260378.29
90179,90179,3100332,0,593530.3,0,0,0
90179,90179,3100101,0,129.6,0,0,0
90179,90179,3100414,0,597040.35,0,0,0
90179,90179,3100276,66144.37,26345.14,0,1179308.05,0
90179,90179,4200105,0,59764.28,0,0,0
90179,90179,4000001,0,15685.55,0,0,0
90179,90179,3101535,0,13357.6,0,0,0
90179,90179,3101052,0,190.42,0,0,0
90179,90179,4100036,76450,500000,0,0,0
90179,90179,3101286,0,15327.2,0,0,0
90179,90179,3101024,0,954.08,0,0,0
90179,90179,3101638,17009.04,101962.66,0,0,0
90179,90179,3101488,0,9838.21,0,0,0
90179,90179,3101081,0,5819.82,0,0,0
90179,90179,3101678,496508.9,5050340.04,0,0,0
90179,90179,4200091,0,216175.39,0,3352193.28,0
90179,90179,3101516,21044.73,278816.03,0,0,0
90179,90179,3101150,68176.17,354705.9,0,0,0
90179,90179,3101318,0,1794.29,0,0,0
90179,90179,3101396,96427.5,0,0,333380,0
90179,90179,3101429,0,29188.12,0,0,0
90179,90179,4100039,42525,221951.75,0,0,0
90179,90179,3100274,59396.48,360124.73,0,0,0
90179,90179,3101217,0,6484.43,0,0,0
90179,90179,3101224,0,1302767.89,0,895934.38,0
90179,90179,3100371,0,776738.55,0,0,0
90179,90179,3100204,0,77038.62,0,0,0
90179,90179,3100218,0,869684.65,0,0,0
90179,90179,3101146,0,1702.89,0,0,0
90179,90179,3101306,0,5579.99,0,0,0
90179,90179,3101476,36103.75,183631.5,0,0,0
90179,90179,3100049,18554.93,37478.32,0,0,0
90179,90179,3100991,0,129698.71,0,0,0
90179,90179,2200021,436075.16,0,0,0,436075.16
90179,90179,3100318,0,2334,0,55338.4,0
90179,90179,3100432,0,1962766.13,0,0,0
90179,90179,3100935,334357.76,257529.7,0,0,76828.06
90179,90179,3101559,10187.04,69458.65,0,0,0
90179,90179,3100845,450296.76,0,0,49138642.88,0
90179,90179,3100962,22470,27211.22,0,0,0
90179,90179,3101281,148075,194518.34,0,0,0
90179,90179,3100781,0,18619.95,0,0,0
90179,90179,3101280,0,496132.16,0,0,0
90179,90179,3100411,0,10.75,0,62641632.14,0
90179,90179,3101315,0,148136.43,0,126171.4,0
90179,90179,3100782,0,252527.85,0,0,0
90179,90179,3101351,0,52712.06,0,0,0
90179,90179,3101092,146822.39,296530.81,0,0,0
90179,90179,3100789,39945.6,131198.01,0,0,0
90179,90179,3101567,94408.36,357191.22,0,0,0
90179,90179,3100901,0,11325.96,0,0,0
90179,90179,3101389,0,97870.68,0,0,0
90179,90179,3100219,0,869916.14,0,0,0
90179,90179,3100898,0,859.44,0,0,0
90179,90179,3101008,0,1681.39,0,0,0
90179,90179,3100868,0,24640.39,0,0,0
90179,90179,10000203,163300,593626.8,0,195800,0
90179,90179,3100948,0,0,0,1547182.2,0
90179,90179,3100876,0,1156.23,0,0,0
90179,90179,3100852,61382.62,332991.18,0,0,0
90179,90179,3101168,0,66922.08,0,0,0
90179,90179,3100815,0,613125.83,0,0,0
90179,90179,3100878,0,0,0,1083021.23,0
90179,90179,3101149,0,59135.41,0,0,0
90179,90179,3101394,0,6840.66,0,0,0
90179,90179,10000287,23375,127026.09,0,0,0
90179,90179,3100315,0,42455.38,0,0,0
90179,90179,4300033,52142.4,201000,0,0,0
90179,90179,3101494,205680,0,0,0,205680
90179,90179,4100062,21215,1432535.4,0,0,0
90179,90179,1000003,0,191.11,0,0,0
90179,90179,3100040,2540,0,0,1002095.53,0
90179,90179,3100804,0,510422.87,0,0,0
90179,90179,3100642,0,11060.72,0,0,0
90179,90179,3100136,91307.75,666686.86,0,0,0
90179,90179,3101391,175049.73,5903.53,0,698056,0
90179,90179,3100655,139389.83,170634.61,0,0,0
90179,90179,3100194,0,5789.98,0,0,0
90179,90179,3101345,0,131459.15,0,0,0
90179,90179,3101337,0,969.86,0,0,0
90179,90179,3101453,0,850016.16,0,0,0
90179,90179,3100836,0,544048.89,0,0,0
90179,90179,3101307,12576.25,123176.03,0,0,0
90179,90179,3100563,99178.61,0,0,4098960,0
90179,90179,3101489,0,9822.86,0,0,0
90179,90179,3100971,5881,200000,0,0,0
90179,90179,3101348,0,104715.69,0,0,0
90179,90179,3101115,0,361563.13,0,0,0
90179,90179,3100402,0,13078.73,0,1080786.32,0
90179,90179,3101235,0,4515.33,0,0,0
90179,90179,3101585,0,400000,0,0,0
90179,90179,3100887,0,204731,0,0,0
90179,90179,10000294,76450,283245.3,0,0,0
90179,90179,3100339,99268.79,213616.44,0,0,0
90179,90179,3101209,0,21865.5,0,0,0
90179,90179,3101673,0,1000000,0,0,0
90179,90179,3101597,0,44425.48,0,0,0
90179,90179,3100331,0,199251.08,0,0,0
90179,90179,3101068,0,6607.62,0,0,0
90179,90179,3101021,0,35783.32,0,0,0
90179,90179,3101042,0,12799.46,0,0,0
90179,90179,3100292,0,0,0,3899918.76,0
90179,90179,3101330,83982.66,400000,0,0,0
90179,90179,10000246,0,31709.46,0,0,0
90179,90179,3101222,0,81477.87,900,1233867.44,0
90179,90179,3101193,0,429847.67,0,0,0
90179,90179,3101277,0,103172.45,0,0,0
90179,90179,3100531,0,0,0,1302395.24,0
90179,90179,3100893,0,4190.48,0,0,0
90179,90179,3101125,0,3934,0,0,0
90179,90179,3100979,397962.92,791428.26,0,0,0
90179,90179,3100820,59688,213008.08,0,0,0
90179,90179,3100932,0,1150754.76,0,0,0
90179,90179,3101642,0,89984.67,0,0,0
90179,90179,4500017,0,1626503.76,0,0,0
90179,90179,3100287,0,38813.89,0,0,0
90179,90179,4100032,247654.22,189827.66,0,0,57826.56
90179,90179,3101129,0,296354.02,0,0,0
90179,90179,3101436,0,300100,0,0,0
90179,90179,3101497,0,1450.93,0,0,0
90179,90179,3101384,0,3125.78,0,0,0
90179,90179,3100199,0,47148.73,0,0,0
90179,90179,3101356,0,452830,0,14115720.59,0
90179,90179,3100917,0,191284.72,0,0,0
90179,90179,3100968,0,8312.98,0,0,0
90179,90179,3101128,0,985093.08,0,0,0
90179,90179,3101612,189113.19,455770.26,0,0,0
90179,90179,3100800,0,199563.03,0,0,0
90179,90179,3101199,0,5090.63,0,0,0
90179,90179,3100785,32065,2266563.05,0,0,0
90179,90179,3101107,0,1301.13,0,0,0
90179,90179,4200011,5400000,16531471.6,0,0,0
90179,90179,1000024,10192.14,66233.23,0,0,0
90179,90179,3101210,10503,54180.8,0,0,0
90179,90179,3100586,0,156406.39,0,0,0
90179,90179,10000286,157914.55,53404.22,0,985046.54,0
90179,90179,3101162,0,107913.03,0,0,0
90179,90179,10000188,0,583447.93,0,0,0
90179,90179,3100260,0,139405.72,0,0,0
90179,90179,3100233,160418.7,410726.07,0,592578,0
90179,90179,3100317,0,16758.34,0,0,0
90179,90179,3101118,0,935.57,0,0,0
90179,90179,3100478,102687.15,33403.8,0,0,69283.35
90179,90179,3101508,0,5883.31,0,0,0
90179,90179,3100471,0,0,0,4841665.69,0
90179,90179,3100909,0,130693.92,0,0,0
90179,90179,4300026,0,0,0,3152377.22,0
90179,90179,3101031,0,62928.07,0,0,0
90179,90179,3100798,0,0.1,0,0,0
90179,90179,3101376,0,0,0,1600619.2,0
90179,90179,3100215,0,335059.66,0,0,0
90179,90179,3101509,0,13589.66,0,0,0
90179,90179,3101589,142714.95,730896.57,0,0,0
90179,90179,4100009,0,52776.74,0,0,0
90179,90179,3100967,0,567928.69,0,0,0
90179,90179,1000004,0,2043.7,0,0,0
90179,90179,3101445,0,17624.31,0,0,0
90179,90179,4100058,0,1376.06,0,0,0
90179,90179,3101344,0,132772.61,0,0,0
90179,90179,3100969,0,979.69,0,0,0
90179,90179,3101400,0,403150,0,0,0
90179,90179,3100678,0,0,0,633960,0
90179,90179,3100381,0,221118.41,0,0,0
90179,90179,3100806,449559.01,646193.18,0,0,0
90179,90179,4200006,0,0,0,9839684.61,0
90179,90179,3101133,0,26147.24,0,0,0
90179,90179,4200102,0,252471.65,0,0,0
90179,90179,10000189,0,315094.73,0,0,0
90179,90179,3101507,0,53365.18,0,0,0
90179,90179,3100449,0,0,0,718053.34,0
90179,90179,3100756,0,378887.91,0,0,0
90179,90179,3100656,399251.43,887969.93,0,0,0
90179,90179,4200026,0,0,0,41769450.82,0
90179,90179,3100944,0,0,0,595080,0
90179,90179,3101368,202515.04,1023853,0,0,0
90179,90179,3102020,0,748435.35,0,0,0
90179,90179,4000020,0,3969.47,0,0,0
90179,90179,10000231,0,550.58,0,0,0
90179,90179,3100764,171376.5,515757.75,0,0,0
90179,90179,2100027,189824.49,0,0,0,189824.49
90179,90179,10000170,0,107073.39,0,0,0
90179,90179,3100896,0,5867.49,0,0,0
90179,90179,3101446,0,76057.35,0,0,0
90179,90179,3101477,0,874953.97,0,0,0
90179,90179,3100018,0,0,0,4468800,0
90179,90179,3100111,0,42378.46,0,0,0
90179,90179,3100313,0,4219.66,0,0,0
90179,90179,3101090,0,51359.38,0,0,0
90179,90179,3101553,35867.4,126090.84,0,0,0
90179,90179,3100943,0,0,0,2732599.34,0
90179,90179,3100729,49735,791019.29,0,0,0
90179,90179,4200138,0,2409342.22,0,0,0
90179,90179,3100681,0,1066016.39,0,6757974.1,0
90179,90179,3100553,0,500000,0,0,0
90179,90179,3100829,0,534097.45,0,0,0
90179,90179,3100380,153416.6,212353.19,0,0,0
90179,90179,4100008,0,481661.3,0,0,0
90179,90179,4200131,0,358076.18,0,0,0
90179,90179,3100741,0,873316.05,0,0,0
90179,90179,3101293,0,1173817.79,0,0,0
90179,90179,3100816,174334.19,1715623.1,0,3478189.53,0
90179,90179,3101573,0,4337.56,0,0,0
90179,90179,3101663,0,1939583.02,0,0,0
90179,90179,4200127,0,1431813.79,0,0,0
90179,90179,3100420,0,83507.28,0,0,0
90179,90179,10000161,0,1374693.3,0,0,0
90179,90179,3100409,0,751552.66,0,175896.4,0
90179,90179,3101481,0,50000,0,0,0
90179,90179,3101274,1417163.32,0,0,0,1417163.32
90179,90179,3100765,109940.43,141436.45,0,0,0
90179,90179,4300011,0,6647306.82,0,0,0
90179,90179,3101523,1021993.56,4300000,0,0,0
90179,90179,3101161,0,200966.17,0,0,0
90179,90179,10000310,0,1586030.53,0,0,0
90179,90179,3100589,0,0.07,0,0,0
90179,90179,4000023,98356.78,500000,0,0,0
90179,90179,3101329,102545.03,400000,0,0,0
90179,90179,3100732,0,3270837.49,0,0,0
90179,90179,3100290,0,2623224.86,0,0,0
90179,90179,3101442,0,7757.35,0,1267663,0
90179,90179,10000184,0,1324079.81,0,0,0
90179,90179,10000227,0,5957.3,0,0,0
90179,90179,3101089,64676.65,140078.54,0,0,0
90179,90179,3100990,0,400000,0,0,0
90179,90179,3100386,0,0,0,640677.32,0
90179,90179,3101139,0,100000,0,0,0
90179,90179,3100853,0,169309,0,0,0
90179,90179,3101438,0,26749.2,0,0,0
90179,90179,3100155,0,421883.31,0,13364785.8,0
90179,90179,3101232,0,54646.65,0,0,0
90179,90179,4300015,0,2560350.17,0,0,0
90179,90179,3101426,260829.29,0,0,0,260829.29
90179,90179,3101213,80089.66,227972.73,0,0,0
90179,90179,3101033,0,1294817.28,0,0,0
90179,90179,3100920,0,277046.51,0,0,0
90179,90179,3100062,0,140228.55,0,0,0
90179,90179,4100052,115920,0,0,0,115920
90179,90179,6000002,0,0,0,10985.7,0
90179,90179,3100556,99992.85,0,0,423567,0
90179,90179,3100216,0,870192.98,0,0,0
90179,90179,4100004,0,70326.48,0,0,0
90179,90179,3101450,119852.5,608223.96,0,0,0
90179,90179,3100866,27334.5,0,0,0,27334.5
90179,90179,3100285,0,20678.49,0,0,0
90179,90179,3100752,0,222474.34,0,0,0
90179,90179,3100156,31500,73255828.29,0,9162076.8,0
90179,90179,3101018,0,67831.8,0,0,0
90179,90179,3101244,0,581586.83,0,0,0
90179,90179,2200008,180000,0,0,0,180000
90179,90179,3101513,0,607777.64,0,0,0
90179,90179,3100079,0,66685.28,0,0,0
90179,90179,3101050,2685,751.67,0,0,1933.33
90179,90179,10000182,0,3118.38,0,0,0
90179,90179,3100033,0,44.73,0,20505.17,0
90179,90179,3101407,0,231160.74,0,0,0
90179,90179,3101683,199644.56,0,0,0,199644.56
90179,90179,3101153,0,204720.24,0,0,0
90179,90179,3101134,0,13547.45,0,0,0
90179,90179,3101301,153438.56,0,0,1089713.34,0
90179,90179,3101576,0,75803.14,0,0,0
90179,90179,3100316,0,297923.31,0,0,0
90179,90179,3100701,0,339835.35,0,0,0
90179,90179,3101448,161202.8,129278.14,0,1047264.12,0
90179,90179,3100598,0,153634.27,0,0,0
90179,90179,3101120,0,1645965.69,0,0,0
90179,90179,3100679,20180,3120976.17,0,10582831.88,0
90179,90179,3101545,0,472.6,0,0,0
90179,90179,3100638,0,232261.04,0,0,0
90179,90179,3100946,0,0,0,924080.06,0
90179,90179,3101543,0,9858.62,0,0,0
90179,90179,3101308,0,71144.15,0,0,0
90179,90179,3100009,0,0,0,823927.65,0
90179,90179,3100960,0,141230.48,0,0,0
90179,90179,3101420,0,50516.57,0,0,0
90179,90179,4000014,400234.27,739275.16,0,0,0
90179,90179,3101459,132148.12,5127.33,0,462946.96,0
90179,90179,4100043,0,18437.11,0,0,0
90179,90179,3100808,752446.42,51396.5,0,0,701049.92
90179,90179,3100281,0,1071829,0,0,0
90179,90179,3101615,0,5542.03,0,0,0
90179,90179,4100050,1520,10798.94,0,2581613.09,0
90179,90179,3101123,0,402923.31,0,0,0
90179,90179,3101372,202078.04,442290.64,0,678810.03,0
90179,90179,3100945,0,0,0,1745417.25,0
90179,90179,3101571,0,1107170.32,0,0,0
90179,90179,3101561,0,1906404.45,0,0,0
90179,90179,3100470,0,23166.43,0,0,0
90179,90179,3101000,0,9792.22,0,0,0
90179,90179,3101387,0,2647853.96,0,0,0
90179,90179,3101406,0,46944.59,0,1825928.79,0
90179,90179,3101602,0,99018.93,0,0,0
90179,90179,3100107,0,148444.8,0,0,0
90179,90179,3100025,0,3327.17,0,0,0
90179,90179,3100664,0,0,0,1939873.53,0
90179,90179,3101177,0,3209917.05,0,0,0
90179,90179,3101180,0,379386.34,0,0,0
90179,90179,3100549,0,349943.54,0,310900.76,0
90179,90179,3100659,0,0,0,14725165,0
90179,90179,10000215,0,464973.67,0,0,0
90179,90179,3101312,51837,572388.42,0,0,0
90179,90179,3100382,0,49724.94,0,0,0
90179,90179,3101073,0,0.79,0,0,0
90179,90179,3100837,0,599453.05,0,0,0
90179,90179,3101117,0,326247.66,0,0,0
90179,90179,4100027,22916,0,1839365.64,819139.14,0
90179,90179,3100146,503678.92,525092.17,0,0,0
90179,90179,3100208,0,130947.95,0,258880.8,0
90179,90179,3100376,0,652746.64,0,0,0
90179,90179,3101303,0,20915.59,0,0,0
90179,90179,3101549,260719.43,0,0,0,260719.43
90179,90179,3100163,178293.22,393065.83,0,0,0
90179,90179,3101491,0,10166.54,0,0,0
90179,90179,3100693,98597.55,3873921.45,0,0,0
90179,90179,3100694,0,433814.05,0,0,0
90179,90179,3100600,0,360934.51,0,0,0
90179,90179,3100692,53500,316340.09,0,0,0
90179,90179,3101468,0,5598.39,0,0,0
90179,90179,3100783,806106.29,0,0,0,806106.29
90179,90179,3100254,0,153863.97,0,0,0
90179,90179,3100791,0,125230.81,0,121654.8,0
90179,90179,3101347,15584,185873.92,0,0,0
90179,90179,3101357,0,46692.16,0,0,0
90179,90179,10000273,0,489.99,0,0,0
90179,90179,3101187,0,6892.31,0,0,0
90179,90179,4200007,0,78512.12,0,4570020,0
90179,90179,3101196,0,44555.61,0,0,0
90179,90179,3101074,0,873975.74,0,0,0
90179,90179,3100601,0,124899.28,0,0,0
90179,90179,3100561,0,0,0,1365658.8,0
90179,90179,3101056,0,4601771.39,0,0,0
90179,90179,4100056,0,260245.69,0,0,0
90179,90179,3100416,0,1147019.5,0,608690.16,0
90179,90179,3101251,0,195317.06,0,0,0
90179,90179,4000017,60075,337850.11,0,0,0
90179,90179,10000167,0,1089313.1,0,0,0
90179,90179,3101609,31768.52,106840.15,0,0,0
90179,90179,3100258,0,16286.91,0,0,0
90179,90179,1000026,6642,96855.55,0,0,0
90179,90179,4200075,0,515.02,0,4713900.15,0
90179,90179,3100938,0,169960,0,0,0
90179,90179,3101430,0,37558.58,0,0,0
90179,90179,3101475,0,860.3,0,979399.83,0
90179,90179,3100965,0,16684.53,0,0,0
90179,90179,3100711,0,799895.4,0,0,0
90179,90179,3101496,0,2717.91,0,0,0
90179,90179,3101552,63441.21,204471.41,0,0,0
90179,90179,3101259,0,473782.46,0,0,0
90179,90179,4300005,0,837344.15,0,1098552,0
90179,90179,4200016,0,0,0,22756890,0
90179,90179,3101534,0,1195794.81,0,0,0
90179,90179,3101057,0,45451.65,0,0,0
90179,90179,3100744,0,416989.02,0,0,0
90179,90179,3101410,0,7332.7,0,0,0
90179,90179,4500003,0,4094604.88,0,0,0
90179,90179,6000014,0,1436.44,0,0,0
90179,90179,1000006,0,1947139.74,0,0,0
90179,90179,3101214,0,23182.51,0,0,0
90179,90179,3101137,0,14302.61,0,0,0
90179,90179,3100951,68224.15,62180.65,0,146706,0
90179,90179,3101130,0,169406.37,0,0,0
90179,90179,3100399,0,52128.32,0,0,0
90179,90179,3100665,0,0,0,7538800,0
90179,90179,3100703,0,421411.68,0,0,0
90179,90179,3101110,0,751511.88,0,0,0
90179,90179,3101229,0,268947.66,0,0,0
90179,90179,3100942,2547.4,42275.57,0,0,0
90179,90179,3100980,0,30605,0,0,0
90179,90179,6000007,0,1500000,0,0,0
90179,90179,3100983,0,905.62,0,0,0
90179,90179,3101667,0,978828.96,0,0,0
90179,90179,3100486,0,2681426.56,0,0,0
90179,90179,3100849,0,0,734232.76,0,0
90179,90179,4000012,0,146866.83,0,0,0
90179,90179,3100400,0,236726.14,0,0,0
90179,90179,3100754,0,273741.62,0,0,0
90179,90179,4000003,0,53115.07,0,16336254.22,0
90179,90179,3101332,0,0,0,884400,0
90179,90179,3101618,0,9082.38,0,0,0
90179,90179,3101013,0,1286.23,0,0,0
90179,90179,3101122,0,2110.9,0,0,0
90179,90179,4200094,1618719.25,0,0,0,1618719.25
90179,90179,3101186,0,253591.43,0,0,0
90179,90179,3101422,0,233610.28,0,0,0
90179,90179,3100931,0,554122.52,0,0,0
90179,90179,3101255,706679.84,7905625.07,0,0,0
90179,90179,3101316,0,1754173.72,0,0,0
90179,90179,3101034,62128.5,112907.43,0,0,0
90179,90179,3101386,0,778.72,0,0,0
90179,90179,3101167,0,66617.64,0,0,0
90179,90179,3100182,0,844652.5,0,0,0
90179,90179,3100760,0,136337.67,0,0,0
90179,90179,3100963,0,4049.27,0,0,0
90179,90179,4100022,0,0,0,32408.48,0
90179,90179,3101270,0,1071.15,0,0,0
90179,90179,3101383,0,79778.54,0,0,0
90179,90179,3101467,0,252.99,0,1170394.8,0
90179,90179,3100417,0,132664.16,0,6559789.74,0
90179,90179,1000005,0,906885.04,0,0,0
90179,90179,1000023,0,200000,0,0,0
90179,90179,3100758,0,417376.02,0,0,0
90179,90179,3101164,99663,427910.06,0,0,0
90179,90179,3101342,83959.37,400000,0,0,0
90179,90179,3100390,0,300000,0,0,0
90179,90179,3101645,49937.5,308681.09,0,0,0
90179,90179,3101295,0,164271.58,0,0,0
90179,90179,3101605,0,94397.51,0,0,0
90179,90179,3100425,99633.26,149989.72,0,0,0
90179,90179,3101336,0,428321.94,0,0,0
90179,90179,3100914,0,4151.32,0,259136.57,0
90179,90179,4500021,0,69128.01,0,0,0
90179,90179,3100255,0,87915.95,0,0,0
90179,90179,3100862,0,166018.79,0,0,0
90179,90179,4200119,0,1783772.92,0,0,0
90179,90179,3100676,370451.4,40139.13,0,0,330312.27
90179,90179,3101524,0,760198.12,0,0,0
90179,90179,3101428,0,1123382.61,0,0,0
90179,90179,3101094,0,183702,0,0,0
90179,90179,3100363,0,2000000,0,2746425.5,0
90179,90179,4000022,0,100000,0,0,0
90179,90179,3100582,0,15541.43,0,0,0
90179,90179,3101124,0,156432.18,0,0,0
90179,90179,3101378,0,700000,0,186774,0
90179,90179,4100064,0,1935299.97,0,0,0
90179,90179,3101343,125552.3,400000,0,0,0
90179,90179,3100875,0,592041.86,0,0,0
90179,90179,3101091,80364.83,37409.83,0,0,42955
90179,90179,3100217,0,1162251.49,0,0,0
90179,90179,3101195,0,136263.25,0,0,0
90179,90179,3101025,0,1051.93,0,0,0
90179,90179,3101495,0,2083771.75,0,0,0
90179,90179,3100794,0,11491.31,0,0,0
90179,90179,3100757,0,1187113.14,0,0,0
90179,90179,4200058,298385.18,2493591.43,0,0,0
90179,90179,3101325,76512.99,871071.42,0,0,0
90179,90179,3100534,0,0,0,1658813.52,0
90179,90179,3100941,0,40379.88,0,563336.39,0
90179,90179,3100772,65175,315983.15,0,0,0
90179,90179,3100253,0,0,0,192249.79,0
90179,90179,4100007,199071.82,133408.18,0,0,65663.64
90179,90179,3100519,0,97844.23,0,0,0
90179,90179,3101334,0,410733.56,0,0,0
90179,90179,3100031,0,1225.9,0,0,0
90179,90179,3101674,0,200000,0,0,0
90179,90179,3101258,0,89240.53,0,0,0
90179,90179,4200114,0,0,0,1194581.88,0
90179,90179,3100660,186184.17,253985.74,0,0,0
90179,90179,3100626,0,123079.7,0,0,0
90179,90179,3101276,30191.14,305265.02,0,0,0
90179,90179,3101066,127409.06,820748.62,0,479418.92,0
90179,90179,3101540,82840,204749.19,0,0,0
90179,90179,3100618,509834.68,6442.79,0,0,503391.89
